material_identification,parameter_name,initial_value,min_value,max_value,dependent_parameter,dependency_ratio
Klei,lambdaModified,0.1237,0.08,0.2,kappaModified,0.333
Klei,muModified,0.006875,0.004,0.01,,
Klei,phi,38.3,20.0,40.0,,
Klei,K0NC,0.3802,0.35,0.5,,
Klei,PermHorizontalPrimary,0.000144,0.00048,0.00432,PermVertical,1.5
Klei,OCR,1.5,1.0,3.0,,
